T0,T0 confidence,T1,T1 confidence,T2,T2 confidence,T3,T3 confidence
T1105,1.0,T1187,1.0,T1566.001,1.0,T1195,1.0
T1021.001.1,0.267,T1003.1,0.467,T1003.1,0.2,T1003.1,0.3
T1021.001.2,0.267,T1003.2,0.4,T1003.2,0.2,T1003.2,0.2
T1021.001.3,0.267,T1003.3,0.4,T1003.3,0.2,T1003.3,0.2
T1021.002.1,0.267,T1003.4,0.467,T1003.4,0.2,T1003.4,0.3
T1021.002.2,0.267,T1003.5,0.4,T1003.5,0.2,T1003.5,0.2
T1021.002.3,0.267,T1021.001.1,0.2,T1021.001.1,0.2,T1021.001.1,0.2
T1021.002.4,0.267,T1021.001.2,0.2,T1021.001.2,0.2,T1021.001.2,0.2
T1021.003.1,0.333,T1021.001.3,0.2,T1021.001.3,0.2,T1021.001.3,0.2
T1021.006.3,0.267,T1021.002.1,0.2,T1021.002.1,0.2,T1021.002.1,0.2
T1027.006.1,0.233,T1021.002.2,0.2,T1021.002.2,0.2,T1021.002.2,0.2
T1039.1,0.267,T1021.002.3,0.267,T1021.002.3,0.25,T1021.002.3,0.3
T1039.2,0.267,T1021.002.4,0.283,T1021.002.4,0.333,T1021.002.4,0.233
T1047.5,0.2,T1021.003.1,0.2,T1021.003.1,0.2,T1021.003.1,0.2
T1056.001.1,0.233,T1021.006.1,0.2,T1021.006.1,0.2,T1021.006.1,0.2
T1059.001.2,0.233,T1021.006.2,0.2,T1021.006.2,0.2,T1021.006.2,0.2
T1059.003,0.2,T1021.006.3,0.227,T1021.006.3,0.25,T1021.006.3,0.25
T1070.006,0.2,T1027.006.1,0.267,T1027.006.1,0.3,T1027.006.1,0.2
T1071.001.1,0.367,T1039.1,0.267,T1039.1,0.25,T1039.1,0.3
T1071.001.2,0.367,T1039.2,0.267,T1039.2,0.25,T1039.2,0.3
T1105.7,0.867,T1046,0.2,T1046,0.2,T1046,0.2
T1105.8,0.867,T1047.1,0.2,T1047.1,0.2,T1047.1,0.2
T1106.1,0.267,T1047.2,0.2,T1047.2,0.2,T1047.2,0.2
T1115.4,0.333,T1047.3,0.2,T1047.3,0.2,T1047.3,0.2
T1218.004.1,0.227,T1047.4,0.2,T1047.4,0.2,T1047.4,0.2
T1218.004.2,0.227,T1047.5,0.217,T1047.5,0.233,T1047.5,0.233
T1218.004.3,0.227,T1056.001.1,0.533,T1056.001.1,0.3,T1056.001.1,0.3
T1218.004.4,0.227,T1059.001.1,0.2,T1059.001.1,0.2,T1059.001.1,0.2
T1218.004.5,0.227,T1059.001.2,0.333,T1059.001.2,0.3,T1059.001.2,0.3
T1218.004.6,0.227,T1059.001.3,0.2,T1059.001.3,0.2,T1059.001.3,0.2
T1218.004.7,0.227,T1059.003,0.267,T1059.003,0.233,T1059.003,0.3
T1218.004.8,0.227,T1070.006,0.217,T1070.006,0.233,T1070.006,0.233
T1505.003,0.2,T1071.001.1,0.2,T1071.001.1,0.2,T1071.001.1,0.2
T1531.3,0.267,T1071.001.2,0.2,T1071.001.2,0.2,T1071.001.2,0.2
T1547.001.3,0.2,T1072.1,0.2,T1072.1,0.2,T1072.1,0.2
T1547.002,0.22,T1072.2,0.2,T1072.2,0.2,T1072.2,0.2
T1547.009.2,0.233,T1083.1,0.2,T1083.1,0.2,T1083.1,0.2
T1547.015.1,0.227,T1105.7,0.283,T1105.7,0.333,T1105.7,0.233
T1550.002.1,0.267,T1105.8,0.283,T1105.8,0.333,T1105.8,0.233
T1550.002.2,0.267,T1106.1,0.283,T1106.1,0.333,T1106.1,0.233
T1550.002.3,0.267,T1106.2,0.2,T1106.2,0.2,T1106.2,0.2
T1550.003.1,0.267,T1106.3,0.2,T1106.3,0.2,T1106.3,0.2
T1550.003.2,0.267,T1106.4,0.2,T1106.4,0.2,T1106.4,0.2
T1560,0.233,T1110.001,0.4,T1110.001,0.2,T1110.001,0.2
T1560.001.1,0.233,T1114.001.1,0.2,T1114.001.1,0.2,T1114.001.1,0.2
T1560.001.2,0.267,T1115.1,0.2,T1115.1,0.2,T1115.1,0.2
T1560.001.3,0.233,T1115.2,0.2,T1115.2,0.2,T1115.2,0.2
T1560.001.4,0.233,T1115.4,0.267,T1115.4,0.3,T1115.4,0.2
T1563.002,0.267,T1119.1,0.2,T1119.1,0.2,T1119.1,0.2
T1572.1,0.467,T1119.2,0.2,T1119.2,0.2,T1119.2,0.2
T1572.2,0.467,T1119.3,0.2,T1119.3,0.2,T1119.3,0.2
T1572.3,0.467,T1119.4,0.2,T1119.4,0.2,T1119.4,0.2
T1573.1,0.467,T1123.1,0.2,T1123.1,0.2,T1123.1,0.2
T1187,0.283,T1123.2,0.2,T1123.2,0.2,T1123.2,0.2
T1566.001,0.233,T1125,0.2,T1125,0.2,T1125,0.2
,,T1204.002,0.2,T1204.002,0.2,T1204.002,0.2
,,T1218.004.1,0.267,T1218.004.1,0.26,T1218.004.1,0.3
,,T1218.004.2,0.267,T1218.004.2,0.26,T1218.004.2,0.3
,,T1218.004.3,0.267,T1218.004.3,0.26,T1218.004.3,0.3
,,T1218.004.4,0.267,T1218.004.4,0.26,T1218.004.4,0.3
,,T1218.004.5,0.267,T1218.004.5,0.26,T1218.004.5,0.3
,,T1218.004.6,0.267,T1218.004.6,0.26,T1218.004.6,0.3
,,T1218.004.7,0.267,T1218.004.7,0.26,T1218.004.7,0.3
,,T1218.004.8,0.267,T1218.004.8,0.26,T1218.004.8,0.3
,,T1482.1,0.2,T1482.1,0.2,T1482.1,0.2
,,T1482.2,0.2,T1482.2,0.2,T1482.2,0.2
,,T1482.3,0.2,T1482.3,0.2,T1482.3,0.2
,,T1482.4,0.267,T1482.4,0.2,T1482.4,0.3
,,T1505.003,0.217,T1505.003,0.233,T1505.003,0.233
,,T1518.1,0.2,T1518.1,0.2,T1518.1,0.2
,,T1530.1,0.2,T1530.1,0.2,T1530.1,0.2
,,T1530.2,0.2,T1530.2,0.2,T1530.2,0.2
,,T1531.3,0.227,T1531.3,0.25,T1531.3,0.25
,,T1547,0.2,T1547,0.2,T1547,0.2
,,T1547.001.1,0.267,T1547.001.1,0.2,T1547.001.1,0.3
,,T1547.001.2,0.267,T1547.001.2,0.2,T1547.001.2,0.3
,,T1547.001.3,0.217,T1547.001.3,0.233,T1547.001.3,0.233
,,T1547.002,0.32,T1547.002,0.25,T1547.002,0.35
,,T1547.003.1,0.2,T1547.003.1,0.2,T1547.003.1,0.2
,,T1547.003.2,0.2,T1547.003.2,0.2,T1547.003.2,0.2
,,T1547.004.1,0.2,T1547.004.1,0.2,T1547.004.1,0.2
,,T1547.005,0.2,T1547.005,0.2,T1547.005,0.2
,,T1547.008,0.267,T1547.008,0.2,T1547.008,0.3
,,T1547.009.1,0.2,T1547.009.1,0.2,T1547.009.1,0.2
,,T1547.009.2,0.267,T1547.009.2,0.3,T1547.009.2,0.2
,,T1547.010,0.267,T1547.010,0.2,T1547.010,0.3
,,T1547.014.1,0.2,T1547.014.1,0.2,T1547.014.1,0.2
,,T1547.015.1,0.267,T1547.015.1,0.26,T1547.015.1,0.3
,,T1548.002.1,0.267,T1548.002.1,0.2,T1548.002.1,0.2
,,T1548.002.2,0.267,T1548.002.2,0.2,T1548.002.2,0.2
,,T1548.002.3,0.267,T1548.002.3,0.2,T1548.002.3,0.2
,,T1548.002.4,0.267,T1548.002.4,0.2,T1548.002.4,0.2
,,T1548.002.5,0.267,T1548.002.5,0.2,T1548.002.5,0.2
,,T1550.002.1,0.2,T1550.002.1,0.2,T1550.002.1,0.2
